/nvme/yuanjingyang/CG-ODE/DGCRN/run_DGCRN_covid.py
/nvme/yuanjingyang/CG-ODE/DGCRN/run_DGCRN_covid.py
Namespace(save='experiments/', load=None, dataset='Dec', datapath='data/', pred_length=14, condition_length=21, features='Confirmed,Deaths,Recovered,Mortality_Rate,Testing_Rate,Population,Mobility', split_interval=3, feature_out='Deaths', niters=100, lr=0.005, batch_size=1, random_seed=1991, dropout=0.2, l2=1e-05, optimizer='AdamW', clip=10, edge_lamda=0.5, z0_encoder='GTrans', rec_dims=64, ode_dims=20, rec_layers=1, gen_layers=1, augment_dim=0, solver='rk4', rtol=0.01, atol=0.01, alias='run', output_dim=1, feature_out_index=[1], num_atoms=50)
run
Epoch: 001, Train Loss: 16.9723, Train MAPE: 1.2875, Train RMSE: 33.9176, Train MAE: 16.9723                            , Valid Loss: 27.9182, Valid MAPE: 1.0985, Valid RMSE: 44.2838, Valid MAE/epoch
Epoch: 002, Train Loss: 16.7048, Train MAPE: 1.6704, Train RMSE: 33.0501, Train MAE: 16.7048                            , Valid Loss: 28.1559, Valid MAPE: 1.0737, Valid RMSE: 44.5305, Valid MAE/epoch
Epoch: 003, Train Loss: 16.7105, Train MAPE: 1.6941, Train RMSE: 33.0164, Train MAE: 16.7105                            , Valid Loss: 28.1328, Valid MAPE: 1.0762, Valid RMSE: 44.5062, Valid MAE/epoch
Epoch: 004, Train Loss: 16.7015, Train MAPE: 1.6779, Train RMSE: 33.0379, Train MAE: 16.7015                            , Valid Loss: 27.9946, Valid MAPE: 1.0909, Valid RMSE: 44.3608, Valid MAE/epoch
Epoch: 005, Train Loss: 16.6808, Train MAPE: 1.6459, Train RMSE: 33.0791, Train MAE: 16.6808                            , Valid Loss: 27.9359, Valid MAPE: 1.0970, Valid RMSE: 44.2997, Valid MAE/epoch
Epoch: 006, Train Loss: 16.7044, Train MAPE: 1.6895, Train RMSE: 33.0206, Train MAE: 16.7044                            , Valid Loss: 28.0962, Valid MAPE: 1.0798, Valid RMSE: 44.4681, Valid MAE/epoch
Epoch: 007, Train Loss: 16.7146, Train MAPE: 1.7173, Train RMSE: 32.9804, Train MAE: 16.7146                            , Valid Loss: 27.9771, Valid MAPE: 1.0922, Valid RMSE: 44.3451, Valid MAE/epoch
Epoch: 008, Train Loss: 16.7111, Train MAPE: 1.7071, Train RMSE: 32.9945, Train MAE: 16.7111                            , Valid Loss: 28.1260, Valid MAPE: 1.0769, Valid RMSE: 44.4987, Valid MAE/epoch
Epoch: 009, Train Loss: 16.6988, Train MAPE: 1.6888, Train RMSE: 33.0149, Train MAE: 16.6988                            , Valid Loss: 28.0443, Valid MAPE: 1.0852, Valid RMSE: 44.4131, Valid MAE/epoch
Epoch: 010, Train Loss: 16.6990, Train MAPE: 1.6780, Train RMSE: 33.0367, Train MAE: 16.6990                            , Valid Loss: 28.0026, Valid MAPE: 1.0892, Valid RMSE: 44.3708, Valid MAE/epoch
Epoch: 011, Train Loss: 16.7241, Train MAPE: 1.7552, Train RMSE: 32.9266, Train MAE: 16.7241                            , Valid Loss: 27.9668, Valid MAPE: 1.0934, Valid RMSE: 44.3332, Valid MAE/epoch
